Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2020,The Growing Studio Inc,"344 W 38th Street, New York, NY, 10018",344 W 38th Street,New York,NY,10018,"$32,468.00",,NO
2020,Ingapirca General Contracting,"103-18 35th Avenue, Corona, NY, 11368",103-18 35th Avenue,Corona,NY,11368,"$32,458.00",,NO
2020,EJ & S Contracting Corp.,"901 New Kirk Ave, Brooklyn, NY, 11230",901 New Kirk Ave,Brooklyn,NY,11230,"$32,450.00",2,NO
2022,Handybook Inc 2,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$32,381.00",237,NO
2023,Sky Land Tempering Glass Corp,"45-22 Vernon Boulevard, Long Island City, NY, 11101",45-22 Vernon Boulevard,Long Island City,NY,11101,"$32,329.00",,NO
2022,Handybook Inc 4,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$32,297.00",237,NO
2022,Handybook Inc 8,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$32,161.00",236,NO
2022,Handybook Inc 7,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$32,032.00",237,NO
2022,Macareno Central,"6810 4th Avenue, Brooklyn, NY, 11220",6810 4th Avenue,Brooklyn,NY,11220,"$32,000.00",4,NO
2022,Handybook Inc 6,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$31,911.00",237,NO
2023,8797 Realty Co,"100A Broadway, Brooklyn, NY, 11249",100A Broadway,Brooklyn,NY,11249,"$31,900.00",1,NO
2020,Sanitation Salvage Corp,"421 Manida Street, Bronx, NY, 10474",421 Manida Street,Bronx,NY,10474,"$31,796.00",,NO
2024,KSK Construction Group LLC,"160 Dikeman Street, 2nd Floor, Brooklyn, NY, 11231",160 Dikeman Street  2nd Floor,Brooklyn,NY,11231,"$31,740.00",,NO
2022,Handybook Inc 9,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$31,491.00",236,NO
2023,M Lounge Restaurant,"2362 Jerome Ave., Bronx, NY, 10468",2362 Jerome Ave.,Bronx,NY,10468,"$31,392.00",1,NO
2024,Sajid Ali -N100 Abir Place,"157 East 115th St, New York, NY, 10029",157 East 115th St,New York,NY,10029,"$31,240.00",,NO
2022,Handybook Inc 3,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$31,216.00",237,NO
2022,Richards Diner Inc,"9606 Ave L, Brooklyn, NY, 11236",9606 Ave L,Brooklyn,NY,11236,"$31,028.00",,NO
2022,Handybook Inc 10,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$30,914.00",237,NO
2020,Singh Hardwood,"50-01 Rockaway Beach Blvd., Far Rockaway, NY, 11691",50-01 Rockaway Beach Blvd.,Far Rockaway,NY,11691,"$30,869.00",,NO
2023,Astor & Stone Inc,"515 E. 14th Street, New York, NY, 10009",515 E. 14th Street,New York,NY,10009,"$30,838.00",,NO
2020,Beach Channel Gas & Grocery Inc.,"3801 Beach Channel Dr, Far Rockaway, NY, 11691",3801 Beach Channel Dr,Far Rockaway,NY,11691,"$30,771.00",1,NO
2022,Handybook Inc 5,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$30,232.00",237,NO
2022,Baci Ristorante,"8424 3rd Avenue, Brooklyn, NY, 11209",8424 3rd Avenue,Brooklyn,NY,11209,"$30,059.00",1,NO
2020,Citic Intl USA Travel Inc,"13633 37th Ave, Flushing, NY, 11354",13633 37th Ave,Flushing,NY,11354,"$30,000.00",3,NO
2021,Start Shoe Repair,"74 Bleecker St, New York, NY, 10012",74 Bleecker St,New York,NY,10012,"$30,000.00",1,NO
2022,Elate Moving LLC,"193 6th Street, Brooklyn, NY, 11215",193 6th Street,Brooklyn,NY,11215,"$29,924.00",1,NO
2023,Hand in Hand Home Care Agency,"4200 White Plains Rd, Bronx, NY, 10466",4200 White Plains Rd,Bronx,NY,10466,"$29,818.00",1,NO
2020,El Castillo De Madison,"207 Madison Street, New York, NY, 10002",207 Madison Street,New York,NY,10002,"$29,776.00",3,NO
2022,Magnetic Construction Management Corp.,"31-41 73rd Street, Jackson Heights, NY, 11370",31-41 73rd Street,Jackson Heights,NY,11370,"$29,760.00",7,NO
2021,Creative Renovations LLC,"214-42 Hillside Ave, Queens Village, NY, 11427",214-42 Hillside Ave,Queens Village,NY,11427,"$29,512.00",2,NO
2024,XC Construction Group Corp,"438 Harman Street, Brooklyn, NY, 11237",438 Harman Street,Brooklyn,NY,11237,"$29,350.00",,NO
2023,Your Style Nail Salon,"48 Wyckoff Avenue, Brookyn, NY, 11237",48 Wyckoff Avenue,Brooklyn,NY,11237,"$29,326.00",2,NO
2022,Now and Then NYC,"290 Meserole Street, Brooklyn, NY, 11206",290 Meserole Street,Brooklyn,NY,11206,"$29,295.00",,NO
2022,Handybook Inc 11,"134 W. 29th Street, New York, NY, 10001",134 W. 29th Street,New York,NY,10001,"$29,271.00",237,NO
2023,Beigle's Bakery,"5700 Ave D, Brooklyn, NY, 11206",5700 Ave D,Brooklyn,NY,11206,"$28,988.00",,NO
2022,Chek Out Inc.,"214 West 29th Street, New York, NY, 10001",214 West 29th Street,New York,NY,10001,"$28,627.00",2,NO
2020,581 R & V Food,"581 West 207th Street, New York, NY, 10034",581 West 207th Street,New York,NY,10034,"$28,507.00",1,NO
2023,Adirondacks Protection Services LLC,"416 Vermont Street, Brooklyn, NY, 11207",416 Vermont Street,Brooklyn,NY,11207,"$28,491.00",1,NO
2023,Family Flowers,"102-18 37th Avenue, Corona, NY, 11368",102-18 37th Avenue,Corona,NY,11368,"$28,460.00",,NO
2023,La Roja De Todos Queens Y Valparaiso Eterno,"6059 Flushing Ave., Queens, NY, 11372",6059 Flushing Ave.,Queens,NY,11372,"$28,330.00",,NO
2021,Los Balbuena Restaurant,"2376 Ryer Avenue, Bronx, NY, 10458",2376 Ryer Avenue,Bronx,NY,10458,"$28,329.00",1,NO
2021,Istanbul Bay Restaurant,"2202 86 St, Brooklyn, NY, 11214",2202 86 St,Brooklyn,NY,11214,"$28,000.00",1,NO
2022,Exquisite Windows,"90-48 202nd Street, Hollis, NY, 11423",90-48 202nd Street,Hollis,NY,11423,"$27,831.00",,NO
2023,Champion Deli and Grocery,"121 Atlantic Avenue, Brooklyn, NY, 11201",121 Atlantic Avenue,Brooklyn,NY,11201,"$27,590.00",1,NO
2023,CVS Store No 2557,"253 First Avenue, New York, NY, 10003",253 First Avenue,New York,NY,10003,"$27,450.00",,NO
2024,CVS Store No 10298,"241 West 57th St., New York, NY, 10019",241 West 57th St.,New York,NY,10019,"$27,399.00",,NO
2022,Vin Sur Vingt,"192 Seventh Ave, New York, NY, 10014",192 Seventh Ave,New York,NY,10014,"$27,313.00",1,NO
2023,NSEA LLC,"PO Box 192, Bronx, NY, 10470",PO Box 192,Bronx,NY,10470,"$27,199.00",,NO
2024,Moon Tower NY LLC,"1838 East 2nd Street, Brooklyn, NY, 11223",1838 East 2nd Street,Brooklyn,NY,11223,"$27,161.00",,NO
2021,Happy Laundromat,"762 Sheffield Avenue, Brooklyn, NY, 11207",762 Sheffield Avenue,Brooklyn,NY,11207,"$27,094.00",,NO
2020,PR Sazon Restaurante,"3285 Westchester Ave., Bronx, NY, 10461",3285 Westchester Ave.,Bronx,NY,10461,"$26,963.00",1,NO
2020,North Construction Corp,"33-32 89th Street, Queens, NY, 11372",33-32 89th Street,Queens,NY,11372,"$26,961.00",,NO
2023,W&X FASHION INC,"260 W 36TH ST RM 3B, NEW YORK, NY, 10018",260 W 36TH ST RM 3B,NEW YORK,NY,10018,"$26,959.00",,YES
2022,"BNV Home Care Services, Inc","96-60 Queens Blvd, Rego Park, NY, 11374",96-60 Queens Blvd,Rego Park,NY,11374,"$26,820.00",9,NO
2021,NY Foundation for Senior Citizens Inc,"11 Park Place, New York, NY, 10007",11 Park Place,New York,NY,10007,"$26,800.00",2,NO
2022,KA Investigation Security LLC,"1162 Bay Street, Staten Island, NY, 10305",1162 Bay Street,Staten Island,NY,10305,"$26,535.00",1,NO
2022,Alexander Barrett & Lindsay Barton Barrett,"459 Henry Street, Brooklyn, NY, 11231",459 Henry Street,Brooklyn,NY,11231,"$26,500.00",2,NO
2023,Jack and Grace Chalouh,"1553 East 16th Street, Brooklyn, NY, 11230",1553 East 16th Street,Brooklyn,NY,11230,"$26,500.00",1,NO
2024,Kinhin Productions Inc,"257 39th Street 7 Floor, New York, NY, 10018",257 39th Street 7 Floor,New York,NY,10018,"$26,343.00",,NO
2024,Elegant Unisex,"299 St Nicholas Ave, Queens, NY, 11385",299 St Nicholas Ave,Queens,NY,11385,"$26,306.00",,NO
2021,Madhu Grover,"455 East 51st Street, New York, NY, 10022",455 East 51st Street,New York,NY,10022,"$26,262.00",2,NO
2020,Golden Touch Auto Collision,"490 Ralph Ave, Brooklyn, NY, 11233",490 Ralph Ave,Brooklyn,NY,11233,"$26,220.00",1,NO
2020,Nuevo Tequilazo,"172-37 Hillside Ave, Jamaica, NY, 11432",172-37 Hillside Ave,Jamaica,NY,11432,"$26,220.00",2,NO
2023,Campania Coal-Fired Pizza,"1801 Hylan Boulevard, Staten Island, NY, 10305",1801 Hylan Boulevard,Staten Island,NY,10305,"$26,117.00",12,NO
2023,EZY Parking,"1981 Cedar Ave., Bronx, NY, 10453",1981 Cedar Ave.,Bronx,NY,10453,"$25,961.00",,NO
2021,Atlixco de las flores,"5811 5th Ave, Brooklyn, NY, 11220",5811 5th Ave,Brooklyn,NY,11220,"$25,791.00",1,NO
2021,JJA Contracting Inc,"3418 Gates Place, Bronx, NY, 10467",3418 Gates Place,Bronx,NY,10467,"$25,722.00",1,NO
2020,"El Maalem / Arabian Market, Inc","6815 5th Avenue, Brooklyn, NY, 11220",6815 5th Avenue,Brooklyn,NY,11220,"$25,675.00",2,NO
2021,R & J Builders INC,"6056 59th Avenue, Maspeth, NY, 11378",6056 59th Avenue,Maspeth,NY,11378,"$25,625.00",2,NO
2023,Nuevo Don Francisco Restaurant Corp & Freddy Litu..,"40-56 Junction Blvd, Corona, NY, 11368",40-56 Junction Blvd,Corona,NY,11368,"$25,570.00",,NO
2020,Aqel Sheetmetal,"2305 2nd Avenue, New York, NY, 10035",2305 2nd Avenue,New York,NY,10035,"$25,557.00",1,NO
2023,Star Builders Inc,"1300 Madison Avenue, New York, NY, 10128",1300 Madison Avenue,New York,NY,10128,"$25,411.00",,NO
2023,NY Demolition and Construction,"West Side Construction &, Brooklyn, NY, 11223",West Side Construction &,Brooklyn,NY,11223,"$25,405.00",1,NO
2024,CVS Store No 7576,"31-01 Ditmars Blvd., Astoria, NY, 11105",31-01 Ditmars Blvd.,Astoria,NY,11105,"$25,218.00",,NO
2024,Black Veterans For Social Justice,"665 Willoughby St, Brooklyn, NY, 11206",665 Willoughby St,Brooklyn,NY,11206,"$25,127.00",,NO
2021,Sunlight Development Group,"201 46th Street, Brooklyn, NY, 11220",201 46th Street,Brooklyn,NY,11220,"$25,120.00",13,NO
2021,How Convenient Mini Market,"72-05 Grand Avenue, Maspeth, NY, 11378",72-05 Grand Avenue,Maspeth,NY,11378,"$25,108.00",,NO
2020,Coleen Blakely C/O Matthew White,"16 W 16th Street, New York, NY, 10011",16 W 16th Street,New York,NY,10011,"$25,000.00",1,NO
2021,Don Poli Meat Market Corp,"3143 Fulton Street, Brooklyn, NY, 11208",3143 Fulton Street,Brooklyn,NY,11208,"$25,000.00",1,NO
2023,Laureen Moyal,"460 Manhattan Ave, Brooklyn, NY, 11222",460 Manhattan Ave,Brooklyn,NY,11222,"$25,000.00",2,NO
2021,Oleg Nashtatik,"2006 Avenue M, Brooklyn, NY, 11230",2006 Avenue M,Brooklyn,NY,11230,"$25,000.00",1,YES
2020,Village Pizza,"337 14th St, New York, NY, 10014",337 14th St,New York,NY,10014,"$25,000.00",1,NO
2020,White on White Cleaners,"68 White St, New York, NY, 10013",68 White St,New York,NY,10013,"$25,000.00",1,NO
2024,Rapawzel Dog Grooming,"208 E 82nd Street, New York, NY, 10028",208 E 82nd Street,New York,NY,10028,"$24,915.00",,NO
2020,Kitchen Republic Corporation,"60-38 76th Street, Queens, NY, 11379",60-38 76th Street,Queens,NY,11379,"$24,888.00",1,NO
2022,Soup & Gyro Inc.,"178 Church Street, New York, NY, 10013",178 Church Street,New York,NY,10013,"$24,835.00",1,NO
2021,"Young Adult Institute, Inc. T/A YAI Seeing Beyond Di..","220 E. 42nd Street, 8th Floor, New York, NY, 10017",220 E. 42nd Street  8th Floor,New York,NY,10017,"$24,812.00",,NO
2023,Stephanie Stein and Daniel Gluck,"212 Warren Street, New York, NY, 10282",212 Warren Street,New York,NY,10282,"$24,672.00",2,NO
2021,Rowe's Restaurant,"4122 Avenue D, Brooklyn, NY, 11203",4122 Avenue D,Brooklyn,NY,11203,"$24,664.00",1,NO
2024,Nueva Esperanza Deli,"1374 Sheridan Avenue, Bronx, NY, 10456",1374 Sheridan Avenue,Bronx,NY,10456,"$24,320.00",,NO
2023,Maria Alejandra Gonzalez Duarte Briseno and Agusti..,"521 East 14th St, New York, NY, 10009",521 East 14th St,New York,NY,10009,"$24,058.00",2,NO
2021,Stratt Construction and Flooring LLC,"812 E 227 Street, Bronx, NY, 10466",812 E 227 Street,Bronx,NY,10466,"$24,008.00",1,NO
2021,DJ Drugs,"3721 Riverdale Avenue, Bronx, NY, 10463",3721 Riverdale Avenue,Bronx,NY,10463,"$23,970.00",5,NO
2023,Samarkand Bazaar,"1007 Brighton Beach Avenue, Brooklyn, NY, 11235",1007 Brighton Beach Avenue,Brooklyn,NY,11235,"$23,950.00",,NO
2020,Felfla Cafe,"6906 3rd Avenue, Brooklyn, NY, 11209",6906 3rd Avenue,Brooklyn,NY,11209,"$23,829.00",1,NO
2021,"E Z Carpet Care, Inc","12812 Gotham Road, South Ozone Park, NY, 11420",12812 Gotham Road,South Ozone Park,NY,11420,"$23,626.00",6,NO
2022,Maria Disla Group Family Day Care,"809 East 6th Street, New York, NY, 10009",809 East 6th Street,New York,NY,10009,"$23,605.00",1,NO
2023,Link Homecare CDPAP,"103-15 101st Street, South Ozone Park, NY, 11417",103-15 101st Street,South Ozone Park,NY,11417,"$23,600.00",,NO
2022,"Staffing Solution Organization, LLC","28 LIBERTY STREET, New York, NY, 10005",28 LIBERTY STREET,New York,NY,10005,"$23,389.00",1,YES
2021,Moda,"79-11 37th Avenue, Jackson Heights, NY, 11372",79-11 37th Avenue,Jackson Heights,NY,11372,"$23,092.00",,NO
2023,Guirguis Obgyn Group,"464 77th Street, Brooklyn, NY, 11209",464 77th Street,Brooklyn,NY,11209,"$23,077.00",,NO
2020,Diamond Auto Repair,"3620 23rd St, Astoria, NY, 11106",3620 23rd St,Astoria,NY,11106,"$23,053.00",1,NO
2022,Brooklyn Elevator Inc,"246 Avenue U, Brooklyn, NY, 11223",246 Avenue U,Brooklyn,NY,11223,"$23,040.00",1,NO
2024,CVS Store No 7019,"150 East 42nd St, New York, NY, 10017",150 East 42nd St,New York,NY,10017,"$23,035.00",,NO
2020,Shoe Parlor,"851 7th Ave, New York, NY, 10019",851 7th Ave,New York,NY,10019,"$23,000.00",1,NO
2023,Right Start Development LLC,"104-50 102nd Street, Ozone Park, NY, 11417",104-50 102nd Street,Ozone Park,NY,11417,"$22,915.00",,NO
2020,Jamesons Pub,"421 Beach 129th, Rockaway Park, NY, 11694",421 Beach 129th,Rockaway Park,NY,11694,"$22,865.00",,NO
2021,Greenpoint Avenue Deli,"31-46 Greenpoint Avenue, Long Island City, NY, 11101",31-46 Greenpoint Avenue,Long Island City,NY,11101,"$22,641.00",5,NO
2023,Uncle Ted's Modern Chinese Cuisine,"38 E. 8th Street, New York, NY, 10003",38 E. 8th Street,New York,NY,10003,"$22,622.00",,NO
2023,Triangle Enterprise NYC Inc,"2343 Hylan Blvd, Staten Island, NY, 10306",2343 Hylan Blvd,Staten Island,NY,10306,"$22,613.00",1,NO
2021,Matthew Gavenjian and Elizabeth Gable,"431 East 20th St, New York, NY, 10010",431 East 20th St,New York,NY,10010,"$22,500.00",2,NO
2023,Agave Restaurant and Lounge Corp,"1973 Southern Blvd, Bronx, NY, 10460",1973 Southern Blvd,Bronx,NY,10460,"$22,440.00",,NO
2020,Mikes Caribbean Take Out,"624 Morris Ave, Bronx, NY, 10451",624 Morris Ave,Bronx,NY,10451,"$22,328.00",1,NO
2020,Diamond Dynamics,"800 5th Avenue, New York, NY, 10065",800 5th Avenue,New York,NY,10065,"$22,268.00",2,NO
2023,Jerk Conduit Restaurant,"144-43 Farmers Blvd., Jamaica, NY, 11434",144-43 Farmers Blvd.,Jamaica,NY,11434,"$22,127.00",,NO
2023,19th Avenue Deli and Grocery,"1880 86th Street, Brooklyn, NY, 11214",1880 86th Street,Brooklyn,NY,11214,"$22,080.00",,NO
2022,Caring Home Care,"105-05 Crossbay Blvd, Ozone Park, NY, 11417",105-05 Crossbay Blvd,Ozone Park,NY,11417,"$22,056.00",5,NO
2023,JKJ Corp. T/A Associated Supermarket,"13 West 100th Street, New York, NY, 10025",13 West 100th Street,New York,NY,10025,"$22,008.00",,NO
2020,Bravo Supermarket,"366 New Lots Avenue, Brooklyn, NY, 11207",366 New Lots Avenue,Brooklyn,NY,11207,"$21,840.00",,NO
2023,Joe Poulin and Jimena Poulin,"52 Lispenard Street, New York, NY, 10013",52 Lispenard Street,New York,NY,10013,"$21,811.00",2,NO
2020,Food Universe Inc,"1188 Flatbush Avenue, Brooklyn, NY, 11226",1188 Flatbush Avenue,Brooklyn,NY,11226,"$21,646.00",,NO
2020,Securitas Security Services USA Inc,"1412 Broadway, New York, NY, 10018",1412 Broadway,New York,NY,10018,"$21,643.00",1,NO
2021,Bella Blu Restaurant,"967 Lexington Avenue, New York, NY, 10021",967 Lexington Avenue,New York,NY,10021,"$21,600.00",17,NO
2020,Israel Santacruz,"430 E. 138th St., Bronx, NY, 10454",430 E. 138th St.,Bronx,NY,10454,"$21,569.00",8,NO
2024,Gopchang Story BBQ -Manhattan Branch,"312 5th Avenue, New York, NY, 10001",312 5th Avenue,New York,NY,10001,"$21,075.00",,NO
2023,CVS Store No 2445,"540 Amsterdam Avenue, New York, NY, 10024",540 Amsterdam Avenue,New York,NY,10024,"$21,052.00",,NO
2023,Serena Wah Inc dba Jean Claude II,"1343 2nd Avenue, New York, NY, 10021",1343 2nd Avenue,New York,NY,10021,"$21,045.00",,NO
2024,Mechanical Innovative Designs,"109-41 111th Street, South Ozone Park, NY, 11420",109-41 111th Street,South Ozone Park,NY,11420,"$21,016.00",,NO
2023,Wiretech Electric Corp,"1111 44th Drive, Long Island City, NY, 11101",1111 44th Drive,Long Island City,NY,11101,"$21,000.00",1,NO
2023,CVS Store No 144,"219-39 89th Avenue, Queens Village, NY, 11427",219-39 89th Avenue,Queens Village,NY,11427,"$20,979.00",,NO
2020,Reef Restaurant and Bar,"108-02 72nd Avenue, Forest Hills, NY, 11375",108-02 72nd Avenue,Forest Hills,NY,11375,"$20,862.00",,NO
2020,Js on the Bay,"1189 Bay St, Staten Island, NY, 10305",1189 Bay St,Staten Island,NY,10305,"$20,807.00",2,NO
2022,Attentive Home Care Agency,"3131 Coney Island Ave, Brooklyn, NY, 11235",3131 Coney Island Ave,Brooklyn,NY,11235,"$20,744.00",5,NO
2023,CVS Store No 6049,"1361 Hylan Boulevard, Staten Island, NY, 10305",1361 Hylan Boulevard,Staten Island,NY,10305,"$20,728.00",,NO
2020,Pepe Express Corp,"168-68 93rd Avene, Suite 4, Jamaica, NY, 11433",168-68 93rd Avene  Suite 4,Jamaica,NY,11433,"$20,690.00",,NO
2020,Sunshine Day Spa Inc,"120 Elizabeth Street, New York, NY, 10013",120 Elizabeth Street,New York,NY,10013,"$20,640.00",2,NO
2021,Bolivar Builders LLC,"450 West 14th Street, New York, NY, 10014",450 West 14th Street,New York,NY,10014,"$20,625.00",2,NO
2020,NY Brooklyn Bread,"8118 18th Avenue, Brooklyn, NY, 11214",8118 18th Avenue,Brooklyn,NY,11214,"$20,554.00",,NO
2020,Speci America,"801 Second Ave, New York, NY, 10017",801 Second Ave,New York,NY,10017,"$20,454.00",1,NO
2024,CVS Store No 3096,"3775 E. Tremont Ave, Bronx, NY, 10465",3775 E. Tremont Ave,Bronx,NY,10465,"$20,363.00",,NO
2022,Tapestry Management LLC T/A A Rahi,"60 Greenwich Avenue, New York, NY, 10011",60 Greenwich Avenue,New York,NY,10011,"$20,343.00",28,NO
2020,East Coast Envelope and Graphics,"5615 55th Drive, Maspeth, NY, 11378",5615 55th Drive,Maspeth,NY,11378,"$20,324.00",9,NO
2024,Glamspa and Beauty Lounge,"107-12 37th Ave, Corona, NY, 11368",107-12 37th Ave,Corona,NY,11368,"$20,319.00",,NO
2023,Antillana Super Food,"3900 Broadway at 163rd Street, New York, NY, 10032",3900 Broadway at 163rd Street,New York,NY,10032,"$20,312.00",,NO
2022,King C Iron Works,"270 Randolph Street, Brooklyn, NY, 11237",270 Randolph Street,Brooklyn,NY,11237,"$20,298.00",4,NO
2022,Avondale Care Group,"505 8th Avenue, New York, NY, 10018",505 8th Avenue,New York,NY,10018,"$20,280.00",2,NO
2022,Ramanju Properties LLC,"210 Kingsland Avenue, Brooklyn, NY, 11222",210 Kingsland Avenue,Brooklyn,NY,11222,"$20,217.00",1,NO
2023,Galicia Tapas LLC,"575 West 207th Street, New York, NY, 10034",575 West 207th Street,New York,NY,10034,"$20,168.00",,NO
2022,Avalanche Care Inc,"220-05 Jamaica Ave, Queens, NY, 11428",220-05 Jamaica Ave,Queens,NY,11428,"$20,102.00",2,NO
2024,Candy and Smoke Shop,"48 East Kingsbridge Road, Bronx, NY, 10468",48 East Kingsbridge Road,Bronx,NY,10468,"$20,090.00",,NO
2022,CCS & Cargo Inc,"33-28 11th St, Long Island City, NY, 11106",33-28 11th St,Long Island City,NY,11106,"$20,000.00",1,NO
2020,Dawn Elizabeth Mark & Sean Neal Blacher,"275 Union Street, Brooklyn, NY, 11231",275 Union Street,Brooklyn,NY,11231,"$20,000.00",2,NO
2023,Eidla Matusof and Yehuda Reich,"1301 President Street, Brooklyn, NY, 11203",1301 President Street,Brooklyn,NY,11203,"$20,000.00",2,NO
2021,Fountain House Inc,"425 West 47th Street, New York, NY, 10036",425 West 47th Street,New York,NY,10036,"$20,000.00",1,NO
2021,G&G Duct Cleaning,"25 03 Borden Ave, Long Island City, NY, 11101",25 03 Borden Ave,Long Island City,NY,11101,"$20,000.00",1,NO
2021,Good Food for Less,"412 East 83rd St, Brooklyn, NY, 11236",412 East 83rd St,Brooklyn,NY,11236,"$20,000.00",1,NO
2020,Karen Mann,"1365 York Ave, New York, NY, 10021",1365 York Ave,New York,NY,10021,"$20,000.00",1,NO
2021,Kari Posner & Adam Freiman,"255 East 74th St, New York, NY, 10453",255 East 74th St,New York,NY,10453,"$20,000.00",2,NO
2020,New University and GNG Gourmet Deli,"603 West 168 St, New York, NY, 10032",603 West 168 St,New York,NY,10032,"$20,000.00",1,NO
2020,One Stop Dry Clean and Laundry,"318 E 70th St, New York, NY, 10021",318 E 70th St,New York,NY,10021,"$20,000.00",1,NO
2023,Tammy Mosseri and Salomon Mosseri,"20-29 East 3 Street, Brooklyn, NY, 11223",20-29 East 3 Street,Brooklyn,NY,11223,"$20,000.00",1,NO
2021,YYR Repairs Inc,"1711 54th Street, Brooklyn, NY, 11204",1711 54th Street,Brooklyn,NY,11204,"$19,983.00",5,NO
2022,"1st Choice Home Care Service, Inc","8501 New Utrecht Ave, Brooklyn, NY, 11214",8501 New Utrecht Ave,Brooklyn,NY,11214,"$19,845.00",3,NO
2020,Alex G Autzoulatos Law Firm,"37-14 30th Street, Long Island City, NY, 11101",37-14 30th Street,Long Island City,NY,11101,"$19,800.00",1,NO
2020,M K X 99 Cents & Up Inc.,"738 E Tremont Avenue, Bronx, NY, 10457",738 E Tremont Avenue,Bronx,NY,10457,"$19,766.00",1,NO
2022,TA 72nd Realty,"3506 72nd Street, Jackson Heights, NY, 11372",3506 72nd Street,Jackson Heights,NY,11372,"$19,673.00",,NO
2023,Foster Market Food & More,"8802 Foster Avenue, Brooklyn, NY, 11236",8802 Foster Avenue,Brooklyn,NY,11236,"$19,620.00",,NO
2021,"Santa Cruz Serag Caregivers, Inc","40-36 58th Street, Woodside, NY, 11377",40-36 58th Street,Woodside,NY,11377,"$19,593.00",1,NO
2022,Cole NYC LLC,"42 West 33rd Street, New York, NY, 10001",42 West 33rd Street,New York,NY,10001,"$19,567.00",2,NO
2022,"CITY RESTORATION & MAINTENANCE, INC","646 Coney Island Ave, Brooklyn, NY, 11218",646 Coney Island Ave,Brooklyn,NY,11218,"$19,429.00",,NO
2023,C&T Homecare Services LLC,"175-61 Hillside Ave, Jamaica, NY, 11432",175-61 Hillside Ave,Jamaica,NY,11432,"$19,420.00",2,NO
2023,Christine Perez and Silvio Fabian Perez,"39-50 60 Street, Woodside, NY, 11377",39-50 60 Street,Woodside,NY,11377,"$19,389.00",,NO
2023,Peak Fire Protection LLC,"908A Albany Ave, Brooklyn, NY, 11203",908A Albany Ave,Brooklyn,NY,11203,"$19,320.00",,YES
2021,Zen General Construction,"273 Russell Street, Brooklyn, NY, 11222",273 Russell Street,Brooklyn,NY,11222,"$19,296.00",1,NO
2022,ProICT LLC / Sylhet Pharmacy LLC,"1571 42nd Street, Brooklyn, NY, 11219",1571 42nd Street,Brooklyn,NY,11219,"$19,194.00",9,NO
2021,Quality Inn Exclusive Hospitality LLC,"5305 Queen Blvd, Woodside, NY, 11377",5305 Queen Blvd,Woodside,NY,11377,"$19,133.00",1,NO
2023,Tangy Noodle LLC,"98 8th Avenue, New York, NY, 10011",98 8th Avenue,New York,NY,10011,"$19,059.00",,NO
2023,Blooms & Greens Inc.,"99-10 Northern Boulevard, Queens, NY, 11368",99-10 Northern Boulevard,Queens,NY,11368,"$19,043.00",,NO
2021,IHOP Flatlands,"110-00 Flatlands Avenue, Brooklyn, NY, 11207",110-00 Flatlands Avenue,Brooklyn,NY,11207,"$19,041.00",,NO
2023,Diana Zwirn DeMarco,"51 East 78th St, New York, NY, 10075",51 East 78th St,New York,NY,10075,"$19,000.00",,NO
2022,Riverside Market NYC Inc,"7 Bell Slip, Brooklyn, NY, 11222",7 Bell Slip,Brooklyn,NY,11222,"$18,839.00",,NO
2023,SR and AG Corp T/A Kingsway Pharmacy,"250 Kings Highway, Brooklyn, NY, 11223",250 Kings Highway,Brooklyn,NY,11223,"$18,791.00",1,NO
2022,Ambulnz,"35 West 35th St, New York, NY, 10001",35 West 35th St,New York,NY,10001,"$18,750.00",1,NO
2020,Dantom Construction,"6009 16th Avenue, Brooklyn, NY, 11204",6009 16th Avenue,Brooklyn,NY,11204,"$18,596.00",6,NO
2023,St. Anns Creative Learning Center,"1136 Castleton Ave, Staten Island, NY, 10310",1136 Castleton Ave,Staten Island,NY,10310,"$18,587.00",,NO
2020,5th Ave Kings Fruit & Vegetables,"6824 5th Avenue, Brooklyn, NY, 11220",6824 5th Avenue,Brooklyn,NY,11220,"$18,546.00",1,NO
2024,Golding & Associates PLLC,"299 Broadway, New York, NY, 10007",299 Broadway,New York,NY,10007,"$18,400.00",,NO
2022,Floral Home Care LLC,"2218 86th St, Brooklyn, NY, 11214",2218 86th St,Brooklyn,NY,11214,"$18,369.00",3,NO
2021,Fish Republic LLC T/A Savida,"139 Duane Street, New York, NY, 10013",139 Duane Street,New York,NY,10013,"$18,358.00",1,NO
2023,BFC Doors Inc,"Attn: Vitaliy Safronyuk, Brooklyn, NY, 11269",Attn: Vitaliy Safronyuk,Brooklyn,NY,11269,"$18,327.00",6,NO
